 Package                              Name                                                                     Typ     Status         Version              
 Date/Time                            Date Repeat API (date_repeat)                                            Module  Enabled        7.x-2.9              
 Date/Time                            Date Repeat Field (date_repeat_field)                                    Module  Enabled        7.x-2.9              
 Date/Time                            Date Tools (date_tools)                                                  Module  Enabled        7.x-2.9              
 Date/Time                            Date Views (date_views)                                                  Module  Enabled        7.x-2.9              
 Development                          Devel (devel)                                                            Module  Enabled        7.x-1.5              
 Development                          Devel generate (devel_generate)                                          Module  Not installed  7.x-1.5              
 Development                          Devel node access (devel_node_access)                                    Module  Not installed  7.x-1.5              
 Display Suite                        Display Suite (ds)                                                       Module  Enabled        7.x-2.14             
 Display Suite                        Display Suite Devel (ds_devel)                                           Module  Not installed  7.x-2.14             
 Display Suite                        Display Suite Extras (ds_extras)                                         Module  Enabled        7.x-2.14             
 Display Suite                        Display Suite Format (ds_format)                                         Module  Enabled        7.x-2.14             
 Display Suite                        Display Suite Forms (ds_forms)                                           Module  Enabled        7.x-2.14             
 Display Suite                        Display Suite Search (ds_search)                                         Module  Enabled        7.x-2.14             
 Display Suite                        Display Suite UI (ds_ui)                                                 Module  Enabled        7.x-2.14             
 Drupal                               Hook Post Action (hook_post_action)                                      Module  Enabled        7.x-1.0-beta2        
 Drupal                               Hook Post Action Example (hook_post_action_example)                      Module  Not installed  7.x-1.0-beta2        
 Entity Connect                       Entity Connect (entityconnect)                                           Module  Enabled        7.x-2.0-rc1          
 Entity Connect                       Entity Connect and Bean bridge. (entityconnect_bean)                     Module  Not installed  7.x-2.0-rc1          
 Entity Connect                       Entity Connect and ECK bridge. (entityconnect_eck)                       Module  Not installed  7.x-2.0-rc1          
 Entity Connect                       Entity Connect and Term Reference field. (entityconnect_term_reference)  Module  Enabled        7.x-2.0-rc1          
 Example modules                      Mime Mail Example (mimemail_example)                                     Module  Not installed  7.x-1.0-beta4        
 Features                             Date Migration Example (date_migrate_example)                            Module  Not installed  7.x-2.9              
 Features                             OG example (og_example)                                                  Module  Not installed  7.x-2.9              
 Features                             UUID Services Example (uuid_services_example)                            Module  Not installed  7.x-1.0              
 Feeds                                Feeds (feeds)                                                            Module  Enabled        7.x-2.0-beta3        
 Feeds                                Feeds Admin UI (feeds_ui)                                                Module  Enabled        7.x-2.0-beta3        
 Feeds                                Feeds Import (feeds_import)                                              Module  Not installed  7.x-2.0-beta3        
 Feeds                                Feeds News (feeds_news)                                                  Module  Not installed  7.x-2.0-beta3        
 Fields                               Address Field (addressfield)                                             Module  Enabled        7.x-1.2              
 Fields                               Conditional Fields (conditional_fields)                                  Module  Enabled        7.x-3.0-alpha2       
 Fields                               Corresponding Entity References (cer)                                    Module  Not installed  7.x-3.0-alpha7       
 Fields                               Entity Reference (entityreference)                                       Module  Enabled        7.x-1.2              
 Fields                               Entity Reference Behavior Example (entityreference_behavior_example)     Module  Not installed  7.x-1.2              
 Fields                               Field Group (field_group)                                                Module  Enabled        7.x-1.5              
 Fields                               Field Validation (field_validation)                                      Module  Enabled        7.x-2.6              
 Fields                               Field validation extras (field_validation_extras)                        Module  Enabled        7.x-2.6              
 Fields                               Field Validation UI (field_validation_ui)                                Module  Enabled        7.x-2.6              
 Fields                               Geofield (geofield)                                                      Module  Enabled        7.x-2.3              
 Fields                               Link (link)                                                              Module  Enabled        7.x-1.4              
 Fields                               Multiupload Filefield Widget (multiupload_filefield_widget)              Module  Enabled        7.x-1.13             
 Fields                               Multiupload Imagefield Widget (multiupload_imagefield_widget)            Module  Enabled        7.x-1.3              
 Fields                               Property Validation (property_validation)                                Module  Not installed  7.x-2.6              
 FlexSlider                           FlexSlider (flexslider)                                                  Module  Enabled        7.x-2.0-rc1          
 FlexSlider                           FlexSlider Example (flexslider_example)                                  Module  Not installed  7.x-2.0-rc1          
 FlexSlider                           FlexSlider Fields (flexslider_fields)                                    Module  Enabled        7.x-2.0-rc1          
 FlexSlider                           FlexSlider Views Style (flexslider_views)                                Module  Enabled        7.x-2.0-rc1          
 Image                                Image Gallery (image_gallery)                                            Module  Not installed  7.x-1.x-dev          
 Image                                Image Import (image_import)                                              Module  Not installed  7.x-1.x-dev          
 Image                                Image legacy (image_legacy)                                              Module  Not installed  7.x-1.x-dev          
 Image                                ImageMagick Advanced Options (image_im_advanced)                         Module  Not installed  7.x-1.x-dev          
 Input filters                        Relative to Absolute Filter (rel_to_abs)                                 Module  Enabled        7.x-1.6              
 Knowledge Map                        form_wissenskarte_module (form_wissenskarte_module)                      Module  Enabled                             
 Knowledge Map                        Image Map Resizer (imagemap_resizer)                                     Module  Enabled                             
 Knowledge Map                        jQuery Maphilight (ATLAS VERSION) (jq_maphilight)                        Module  Enabled                             
 Mail                                 Mail System (mailsystem)                                                 Module  Enabled        7.x-2.34             
 Mail                                 Mime Mail (mimemail)                                                     Module  Enabled        7.x-1.0-beta4        
 Mail                                 Mime Mail Action (mimemail_action)                                       Module  Enabled        7.x-1.0-beta4        
 Mail                                 Mime Mail CSS Compressor (mimemail_compress)                             Module  Enabled        7.x-1.0-beta4        
 Mail                                 SMTP Authentication Support (smtp)                                       Module  Enabled        7.x-1.6              
 Media                                File Entity (file_entity)                                                Module  Enabled        7.x-2.0-beta3        
 Media                                Imagepicker (imagepicker)                                                Module  Not installed  7.x-1.8              
 Media                                IMCE (imce)                                                              Module  Enabled        7.x-1.10             
 Media                                Media (media)                                                            Module  Enabled        7.x-2.0-rc3          
 Media                                Media Bulk Upload (media_bulk_upload)                                    Module  Not installed  7.x-2.0-rc3          
 Media                                Media Field (mediafield)                                                 Module  Not installed  7.x-2.0-rc3          
 Media                                Media Internet Sources (media_internet)                                  Module  Not installed  7.x-2.0-rc3          
 Media                                Media WYSIWYG (media_wysiwyg)                                            Module  Enabled        7.x-2.0-rc3          
 Media                                Media WYSIWYG View Mode (media_wysiwyg_view_mode)                        Module  Not installed  7.x-2.0-rc3          
 MegaDrupal                           MD Slider (md_slider)                                                    Module  Enabled        7.x-2.18             
 Multilingual                         Localization update (l10n_update)                                        Module  Enabled        7.x-2.1              
 Multilingual - Internationalization  Rules translation (rules_i18n)                                           Module  Not installed  7.x-2.9              
